Date,Open,High,Low,Close,Adj Close,Volume
8/01/2015,29,29.68,24.870001,28.540001,23.347286,706404700
9/01/2015,27.91,30.32,27.66,30.139999,24.861006,680884100
10/01/2015,30.209999,35.029999,29.459999,33.860001,27.929445,703298300
11/01/2015,33.73,35.290001,31.93,34.77,28.680059,459871400
12/01/2015,35,35.59,33.82,34.450001,28.616283,427664700
1/01/2016,33.880001,34.009998,29.209999,31.02,25.767117,615464900
2/01/2016,30.719999,31.120001,27.68,29.59,24.579264,526508800
3/01/2016,29.93,32.75,29.75,32.349998,27.10841,471958200
4/01/2016,32.27,32.470001,30.1,30.280001,25.373806,515836800
5/01/2016,30.450001,31.65,29.5,31.59,26.471548,431523200
6/01/2016,31.620001,33,30.440001,32.799999,27.722912,484891000
7/01/2016,32.639999,35.93,32.380001,34.860001,29.464043,530528900
8/01/2016,34.82,35.900002,33.990002,35.889999,30.33461,390892300
9/01/2016,35.990002,38.049999,35.060001,37.75,32.148563,505600300
10/01/2016,37.689999,38.360001,34.709999,34.869999,29.695913,471649900
11/01/2016,34.900002,35.66,33.419998,34.700001,29.551128,412448100
12/01/2016,34.860001,37.349998,33.560001,36.27,31.122038,405906200
1/01/2017,36.610001,38.450001,36.189999,36.82,31.593969,456335100
2/01/2017,36.82,36.950001,34.84,36.200001,31.061972,477551300
3/01/2017,35.849998,36.299999,34.66,36.07,31.171368,546151800
4/01/2017,36.189999,37.5,35.209999,36.150002,31.240507,444122200
5/01/2017,36.110001,37.169998,35.02,36.110001,31.205942,432927300
6/01/2017,36.119999,36.57,33.34,33.740002,29.374722,499455600
7/01/2017,33.509998,35.860001,33.23,35.470001,30.880896,440860400
8/01/2017,35.66,36.700001,34.380001,35.07,30.532644,497303200
9/01/2017,35.240002,38.150002,34.93,38.080002,33.402084,431948900
10/01/2017,38.119999,45.799999,38.080002,45.490002,39.901817,633392500
11/01/2017,45.970001,47.299999,43.77,44.84,39.331661,579910400
12/01/2017,44.73,47.639999,42.669998,46.16,40.729458,559756900
1/01/2018,46.380001,50.849998,42.439999,48.139999,42.476517,910041000
2/01/2018,47.700001,50.900002,42.040001,49.290001,43.491222,608494100
3/01/2018,49.5,53.779999,46.959999,52.080002,46.264748,710899300
4/01/2018,51.689999,55.790001,47.290001,51.619999,45.85611,666315000
5/01/2018,51.639999,56.200001,51,55.200001,49.036373,486323900
6/01/2018,55.84,57.599998,48.5,49.709999,44.414246,638342400
7/01/2018,49.040001,53.299999,46.43,48.099998,42.975769,479303100
8/01/2018,48.060001,50.599998,46.189999,48.43,43.270607,516977100
9/01/2018,48.380001,48.43,44.060001,47.290001,42.50901,462762400
10/01/2018,46.790001,49.720001,42.360001,46.880001,42.140457,782226900
11/01/2018,46.950001,49.32,46.52,49.310001,44.324791,552786700
12/01/2018,50,50.5,43.509998,46.93,42.450882,565278100
1/01/2019,45.959999,50.040001,44.389999,47.119999,42.622749,620374700
2/01/2019,47.060001,53.610001,47.009998,52.959999,47.905373,410236000
3/01/2019,53.439999,54.990002,51.700001,53.700001,48.882641,435022900
4/01/2019,54.34,59.59,50.869999,51.040001,46.461273,472425200
5/01/2019,51.099998,51.82,42.860001,44.040001,40.089226,637861500
6/01/2019,44.25,48.48,43.200001,47.869999,43.842506,416046000
7/01/2019,49.290001,53.5,47.07,50.549999,46.297028,431034400
8/01/2019,50.52,51.889999,44.799999,47.41,43.421207,531370100
9/01/2019,47.119999,53.330002,46.5,51.529999,47.513226,387955800
10/01/2019,51.970001,57.240002,48.529999,56.529999,52.12347,438267300
11/01/2019,55.939999,59.130001,55.619999,58.049999,53.524986,319751400
12/01/2019,58.549999,60.48,55.75,59.849998,55.488392,419629000
1/01/2020,60.240002,69.290001,58.52,63.93,59.271061,534150100
2/01/2020,64.459999,68.089996,53.599998,55.52,51.473942,441506700
3/01/2020,55.790001,59.02,43.630001,54.119999,50.423065,961035400
4/01/2020,52.5,62.130001,51.220001,59.98,55.882774,617557900
5/01/2020,58.830002,64.139999,56.099998,62.93,58.631256,409253500
6/01/2020,62.490002,65.110001,56.759998,59.830002,56.057899,570572500
7/01/2020,59.91,61.93,46.970001,47.73,44.720772,808654500
8/01/2020,48.27,51.5,47.700001,50.950001,47.737755,667321500
9/01/2020,50.91,52.68,48.419998,51.779999,48.844913,680429800
10/01/2020,52.400002,56.23,43.610001,44.279999,41.770042,738437500
11/01/2020,44.959999,48.5,44.240002,48.349998,45.609344,676942800
12/01/2020,48.75,52.650002,45.240002,49.82,47.337845,883810300
1/01/2021,49.889999,63.950001,49.330002,55.509998,52.744354,962555600
2/01/2021,55.950001,63.540001,55.709999,60.779999,57.751797,511339300
3/01/2021,61.720001,67.440002,57.91,64,61.180485,770803800
4/01/2021,64.720001,68.489998,57.07,57.529999,54.995518,654934800
5/01/2021,57.860001,58.009998,53.419998,57.119999,54.60358,495384200
6/01/2021,57.610001,58.419998,55.099998,56.139999,53.997292,511873100
7/01/2021,56.130001,57.459999,52.310001,53.720001,51.669662,516953700
8/01/2021,53.990002,54.869999,51.419998,54.060001,51.996681,402375000
9/01/2021,54.110001,55.490002,52.32,53.279999,51.579468,413346700
10/01/2021,53.650002,56.07,47.869999,49,47.436073,672042200
11/01/2021,49.400002,51.990002,48.119999,49.200001,47.629692,617076700
12/01/2021,49.84,55,48.330002,51.5,50.202988,714651800
1/01/2022,51.650002,56.279999,46.299999,48.82,47.590485,890542800
2/01/2022,48.779999,49.970001,43.630001,47.700001,46.498695,756814900
3/01/2022,47.540001,52.509998,44.07,49.560001,48.679874,849288700
4/01/2022,49.830002,49.900002,43.5,43.59,42.815891,639472500
5/01/2022,43.720001,46.639999,40.310001,44.419998,43.631153,773236800
6/01/2022,44.77,44.93,36.599998,37.41,37.036106,783353000
7/01/2022,37.09,40.73,35.240002,36.310001,35.947102,792918100
8/01/2022,36.049999,37.689999,31.77,31.92,31.600975,899717100
9/01/2022,31.57,32.380001,25.74,25.77,25.77,888833300
10/01/2022,26.33,27.84,24.59,25.91,25.91,449583700
